SEASON,TEAM_ID,TEAM_NAME,GP,W,L,WIN_PCT,NET_RATING,OFF_RATING,DEF_RATING,PACE,EFG_PCT,TEAM_ABBREVIATION,CONFERENCE,PRIMARY_COLOR,LOGO_URL
2025-26,1610612765,Detroit Pistons,82,60,22,0.732,8.4,117.3,108.9,99.88,0.546,DET,East,#C8102E,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
2025-26,1610612759,San Antonio Spurs,82,62,20,0.756,8.4,118.7,110.4,100.72,0.559,SAS,West,#C4CED4,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
2025-26,1610612738,Boston Celtics,82,56,26,0.683,8.3,120.0,111.7,95.58,0.553,BOS,East,#007A33,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
2025-26,1610612752,New York Knicks,82,53,29,0.646,6.4,118.7,112.3,97.71,0.557,NYK,East,#006BB6,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
2025-26,1610612745,Houston Rockets,82,52,30,0.634,5.4,117.5,112.1,96.98,0.542,HOU,West,#CE1141,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
2025-26,1610612743,Denver Nuggets,82,54,28,0.659,5.2,121.2,116.0,99.49,0.577,DEN,West,#0E2240,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
2025-26,1610612766,Charlotte Hornets,82,44,38,0.537,4.9,118.4,113.5,97.59,0.552,CHA,East,#1D1160,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
2025-26,1610612739,Cleveland Cavaliers,82,52,30,0.634,4.1,118.3,114.1,100.7,0.561,CLE,East,#860038,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
2025-26,1610612750,Minnesota Timberwolves,82,49,33,0.598,3.1,115.6,112.5,101.5,0.559,MIN,West,#0C2340,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
2025-26,1610612761,Toronto Raptors,82,46,36,0.561,2.9,115.0,112.1,99.22,0.546,TOR,East,#CE1141,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
2025-26,1610612737,Atlanta Hawks,82,46,36,0.561,2.2,115.0,112.9,102.5,0.554,ATL,East,#E03A3E,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
2025-26,1610612748,Miami Heat,82,43,39,0.524,2.1,115.8,113.6,104.22,0.542,MIA,East,#98002E,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
2025-26,1610612747,Los Angeles Lakers,82,53,29,0.646,1.5,117.0,115.5,99.22,0.573,LAL,West,#552583,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
2025-26,1610612756,Phoenix Suns,82,45,37,0.549,1.4,114.2,112.9,98.14,0.537,PHX,West,#1D1160,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
2025-26,1610612746,LA Clippers,82,42,40,0.512,1.1,116.3,115.2,97.29,0.559,LAC,West,#C8102E,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
2025-26,1610612753,Orlando Magic,82,45,37,0.549,0.6,114.2,113.6,100.56,0.531,ORL,East,#0077C0,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
2025-26,1610612755,Philadelphia 76ers,82,45,37,0.549,-0.1,114.3,114.4,100.39,0.53,PHI,East,#006BB6,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
2025-26,1610612757,Portland Trail Blazers,82,42,40,0.512,-0.4,113.1,113.5,101.63,0.534,POR,West,#E03A3E,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
2025-26,1610612744,Golden State Warriors,82,37,45,0.451,-0.5,113.8,114.4,100.05,0.549,GSW,West,#1D428A,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
2025-26,1610612740,New Orleans Pelicans,82,26,56,0.317,-4.4,113.3,117.6,101.37,0.527,NOP,West,#0C2340,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
2025-26,1610612742,Dallas Mavericks,82,26,56,0.317,-5.2,110.3,115.5,102.62,0.527,DAL,West,#00538C,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
